Lot_ID,Part_ID,Value_0h_uA,Value_24h_uA,Value_96h_uA,Value_168h_uA,Lot_Mean_uA,Lot_Sigma_uA,Dynamic_Z_0h,Dynamic_Z_24h,Dynamic_Z_96h,Dynamic_Z_168h,Slope_0_24_uA_per_h,Slope_24_168_uA_per_h,Static_Limit_Fail,Latent_Defect_Label
LOT-001,L001-P041,11.8783,12.0658,12.1751,12.3717,10.1676,0.6256,2.7345,3.0342,3.2089,3.5232,0.007812,0.002124,0,0
LOT-001,L001-P042,9.4976,9.7162,9.9439,10.2153,10.1676,0.6256,-1.071,-0.7215,-0.3576,0.0762,0.009108,0.003466,0,0
LOT-001,L001-P043,50.7814,63.0633,87.5631,121.7263,10.1676,0.6256,64.9198,84.552,123.714,178.3227,0.511746,0.407382,1,1
LOT-001,L001-P044,9.6378,9.6967,9.902,10.1876,10.1676,0.6256,-0.8469,-0.7527,-0.4246,0.032,0.002454,0.003409,0,0
LOT-001,L001-P045,10.6118,10.7992,11.1123,11.4885,10.1676,0.6256,0.71,1.0096,1.5101,2.1114,0.007808,0.004787,0,0
LOT-001,L001-P046,10.204,11.8814,15.8629,21.3025,10.1676,0.6256,0.0582,2.7395,9.1037,17.7988,0.069892,0.065424,0,1
LOT-001,L001-P047,9.4526,9.5223,9.6786,9.9301,10.1676,0.6256,-1.1429,-1.0315,-0.7816,-0.3796,0.002904,0.002832,0,0
LOT-001,L001-P048,10.489,10.6709,11.0081,11.3519,10.1676,0.6256,0.5137,0.8045,1.3435,1.8931,0.007579,0.004729,0,0
LOT-001,L001-P049,10.1722,10.4285,10.7436,10.9121,10.1676,0.6256,0.0074,0.417,0.9207,1.1901,0.010679,0.003358,0,0
LOT-001,L001-P050,10.6424,10.8356,11.0,11.1961,10.1676,0.6256,0.759,1.0678,1.3306,1.644,0.00805,0.002503,0,0
LOT-001,L001-P051,9.8331,10.068,10.1567,10.3096,10.1676,0.6256,-0.5347,-0.1592,-0.0174,0.227,0.009787,0.001678,0,0
LOT-001,L001-P052,10.8488,11.1537,11.4165,11.6715,10.1676,0.6256,1.0889,1.5762,1.9963,2.4039,0.012704,0.003596,0,0
LOT-001,L001-P053,9.3725,10.2242,13.7869,18.6792,10.1676,0.6256,-1.2709,0.0905,5.7853,13.6055,0.035487,0.058715,0,1
LOT-001,L001-P054,8.9007,9.0956,9.2794,9.5647,10.1676,0.6256,-2.0251,-1.7136,-1.4198,-0.9637,0.008121,0.003258,0,0
LOT-001,L001-P055,9.6847,9.9977,10.2142,10.3824,10.1676,0.6256,-0.7719,-0.2716,0.0745,0.3434,0.013042,0.002672,0,0
LOT-001,L001-P056,11.2721,11.4845,11.6084,11.9002,10.1676,0.6256,1.7655,2.105,2.3031,2.7695,0.00885,0.002887,0,0
LOT-001,L001-P057,10.4036,10.7157,10.8331,11.2174,10.1676,0.6256,0.3772,0.8761,1.0638,1.6781,0.013004,0.003484,0,0
LOT-001,L001-P058,10.9602,11.0836,11.3779,11.6554,10.1676,0.6256,1.2669,1.4642,1.9346,2.3782,0.005142,0.003971,0,0
LOT-001,L001-P059,10.1554,10.2608,10.3813,10.5708,10.1676,0.6256,-0.0195,0.149,0.3416,0.6445,0.004392,0.002153,0,0
LOT-001,L001-P060,11.1888,11.2544,11.4604,11.6735,10.1676,0.6256,1.6324,1.7372,2.0665,2.4071,0.002733,0.00291,0,0
LOT-001,L001-P061,10.2042,10.572,10.8625,11.1535,10.1676,0.6256,0.0585,0.6464,1.1108,1.5759,0.015325,0.004038,0,0
LOT-001,L001-P062,10.2921,10.4241,10.6811,10.8426,10.1676,0.6256,0.199,0.41,0.8208,1.079,0.0055,0.002906,0,0
LOT-001,L001-P063,8.9806,9.263,9.4515,9.8627,10.1676,0.6256,-1.8974,-1.446,-1.1447,-0.4874,0.011767,0.004165,0,0
LOT-001,L001-P064,10.0726,10.2997,10.5778,10.7155,10.1676,0.6256,-0.1519,0.2112,0.6557,0.8758,0.009463,0.002888,0,0
LOT-001,L001-P065,10.7213,11.5445,15.6735,19.66,10.1676,0.6256,0.8851,2.2009,8.801,15.1733,0.0343,0.056358,0,1
LOT-001,L001-P066,9.877,10.1332,10.5284,10.7646,10.1676,0.6256,-0.4645,-0.055,0.5767,0.9543,0.010675,0.004385,0,0
LOT-001,L001-P067,10.5313,10.645,10.8389,11.1137,10.1676,0.6256,0.5814,0.7631,1.073,1.5123,0.004737,0.003255,0,0
LOT-001,L001-P068,10.5494,10.5864,10.7144,10.8475,10.1676,0.6256,0.6103,0.6694,0.874,1.0868,0.001542,0.001813,0,0
LOT-001,L001-P069,10.8945,11.0571,11.417,11.6995,10.1676,0.6256,1.1619,1.4218,1.9971,2.4487,0.006775,0.004461,0,0
LOT-001,L001-P070,10.6765,10.8575,11.2006,11.3483,10.1676,0.6256,0.8135,1.1028,1.6512,1.8873,0.007542,0.003408,0,0
LOT-001,L001-P071,10.7614,10.9673,11.2043,11.414,10.1676,0.6256,0.9492,1.2783,1.6571,1.9923,0.008579,0.003102,0,0
LOT-001,L001-P072,10.5399,10.5766,10.7819,11.1024,10.1676,0.6256,0.5951,0.6538,0.9819,1.4942,0.001529,0.003651,0,0
LOT-001,L001-P073,9.419,9.6489,9.9617,10.1605,10.1676,0.6256,-1.1966,-0.8291,-0.3291,-0.0113,0.009579,0.003553,0,0
LOT-001,L001-P074,9.6063,10.9558,14.3389,20.4458,10.1676,0.6256,-0.8972,1.2599,6.6677,16.4293,0.056229,0.065903,0,1
LOT-001,L001-P075,10.5516,10.8402,11.0469,11.2673,10.1676,0.6256,0.6138,1.0751,1.4055,1.7578,0.012025,0.002966,0,0
LOT-001,L001-P076,9.8729,10.0715,10.1767,10.2359,10.1676,0.6256,-0.4711,-0.1536,0.0145,0.1092,0.008275,0.001142,0,0
LOT-001,L001-P077,9.7521,10.0409,10.0872,10.4442,10.1676,0.6256,-0.6642,-0.2025,-0.1285,0.4421,0.012033,0.002801,0,0
LOT-001,L001-P078,10.1557,10.2555,10.5036,10.6748,10.1676,0.6256,-0.019,0.1405,0.5371,0.8107,0.004158,0.002912,0,0
LOT-001,L001-P079,10.9628,12.3462,16.7705,21.0826,10.1676,0.6256,1.2711,3.4824,10.5545,17.4473,0.057642,0.060669,0,1
LOT-001,L001-P080,10.6499,10.8024,11.0982,11.3051,10.1676,0.6256,0.7709,1.0147,1.4875,1.8183,0.006354,0.003491,0,0
LOT-001,L001-P081,10.7829,10.9707,11.1434,11.3458,10.1676,0.6256,0.9835,1.2837,1.5598,1.8833,0.007825,0.002605,0,0
LOT-001,L001-P082,10.4791,10.6246,11.0606,11.3806,10.1676,0.6256,0.4979,0.7305,1.4274,1.9389,0.006062,0.00525,0,0
LOT-001,L001-P083,11.3037,11.6589,11.8281,11.9441,10.1676,0.6256,1.816,2.3838,2.6543,2.8397,0.0148,0.001981,0,0
LOT-001,L001-P084,9.7926,10.0552,10.1242,10.1329,10.1676,0.6256,-0.5994,-0.1797,-0.0694,-0.0555,0.010942,0.00054,0,0
LOT-001,L001-P085,10.3944,10.5025,10.8017,10.8697,10.1676,0.6256,0.3625,0.5353,1.0136,1.1223,0.004504,0.00255,0,0
LOT-001,L001-P086,11.3134,11.4875,11.7092,11.9388,10.1676,0.6256,1.8315,2.1098,2.4642,2.8312,0.007254,0.003134,0,0
LOT-001,L001-P087,9.4811,9.6519,10.0257,10.0663,10.1676,0.6256,-1.0973,-0.8243,-0.2268,-0.1619,0.007117,0.002878,0,0
LOT-001,L001-P088,9.7926,11.4574,15.5832,22.0822,10.1676,0.6256,-0.5994,2.0617,8.6566,19.0451,0.069367,0.073783,0,1
LOT-001,L001-P089,11.1162,11.3212,11.5398,11.5799,10.1676,0.6256,1.5163,1.844,2.1934,2.2575,0.008542,0.001797,0,0
LOT-001,L001-P090,10.2429,10.464,10.7852,10.8727,10.1676,0.6256,0.1204,0.4738,0.9872,1.1271,0.009212,0.002838,0,0
LOT-001,L001-P091,9.6497,9.8054,10.0796,10.4843,10.1676,0.6256,-0.8278,-0.579,-0.1407,0.5062,0.006488,0.004715,0,0
LOT-001,L001-P092,10.9054,11.0908,11.5468,11.9224,10.1676,0.6256,1.1793,1.4757,2.2046,2.805,0.007725,0.005775,0,0
LOT-001,L001-P093,9.5292,9.6877,10.0866,10.3744,10.1676,0.6256,-1.0205,-0.7671,-0.1295,0.3306,0.006604,0.004769,0,0
LOT-001,L001-P094,10.8298,10.8691,11.0007,10.9968,10.1676,0.6256,1.0585,1.1213,1.3317,1.3254,0.001637,0.000887,0,0
LOT-001,L001-P095,10.2928,10.2991,10.5005,10.8339,10.1676,0.6256,0.2001,0.2102,0.5321,1.0651,0.000262,0.003714,0,0
LOT-001,L001-P096,9.102,9.2775,9.5659,9.7627,10.1676,0.6256,-1.7033,-1.4228,-0.9618,-0.6472,0.007312,0.003369,0,0
LOT-001,L001-P097,10.8699,10.9347,11.1724,11.3648,10.1676,0.6256,1.1226,1.2262,1.6061,1.9137,0.0027,0.002987,0,0
LOT-001,L001-P098,10.3969,10.5018,10.7004,10.7944,10.1676,0.6256,0.3665,0.5342,0.8517,1.0019,0.004371,0.002032,0,0
LOT-001,L001-P099,11.4533,11.6077,11.813,11.9655,10.1676,0.6256,2.0551,2.302,2.6301,2.8739,0.006433,0.002485,0,0
LOT-001,L001-P100,9.8359,10.8129,13.4903,16.9125,10.1676,0.6256,-0.5302,1.0315,5.3112,10.7815,0.040708,0.042358,0,1
LOT-002,L002-P001,9.0758,9.2115,9.3417,9.7381,9.6578,0.7341,-0.7928,-0.608,-0.4306,0.1094,0.005654,0.003657,0,0
LOT-002,L002-P002,9.6837,11.2831,15.0389,18.3251,9.6578,0.7341,0.0353,2.214,7.3302,11.8067,0.066642,0.048903,0,1
LOT-002,L002-P003,10.2828,10.4132,10.5895,10.8475,9.6578,0.7341,0.8514,1.029,1.2692,1.6206,0.005433,0.003016,0,0
LOT-002,L002-P004,9.4559,9.4517,9.5502,9.8869,9.6578,0.7341,-0.275,-0.2808,-0.1466,0.3121,-0.000175,0.003022,0,0
LOT-002,L002-P005,10.2828,10.3838,10.6366,10.9335,9.6578,0.7341,0.8514,0.989,1.3333,1.7378,0.004208,0.003817,0,0
LOT-002,L002-P006,9.5639,9.6675,9.7568,9.9772,9.6578,0.7341,-0.1279,0.0132,0.1349,0.4351,0.004317,0.002151,0,0
LOT-002,L002-P007,9.5206,9.6968,9.8406,9.9752,9.6578,0.7341,-0.1869,0.0531,0.249,0.4324,0.007342,0.001933,0,0
LOT-002,L002-P008,10.8963,11.1469,11.3961,11.7441,9.6578,0.7341,1.6871,2.0285,2.3679,2.842,0.010442,0.004147,0,0
LOT-002,L002-P009,11.4008,12.9462,16.3096,19.7561,9.6578,0.7341,2.3743,4.4795,9.0612,13.756,0.064392,0.047291,0,1
LOT-002,L002-P010,10.4026,10.6942,10.8133,10.8219,9.6578,0.7341,1.0146,1.4118,1.574,1.5858,0.01215,0.000887,0,0
LOT-002,L002-P011,10.3488,10.4169,10.7232,10.8581,9.6578,0.7341,0.9413,1.0341,1.4513,1.6351,0.002837,0.003064,0,0
LOT-002,L002-P012,9.3002,9.4139,9.6094,9.5591,9.6578,0.7341,-0.4871,-0.3322,-0.0659,-0.1345,0.004737,0.001008,0,0
LOT-002,L002-P013,10.1604,10.3213,10.4805,10.6228,9.6578,0.7341,0.6846,0.9038,1.1207,1.3145,0.006704,0.002094,0,0
LOT-002,L002-P014,10.2123,10.4346,10.7053,11.1097,9.6578,0.7341,0.7553,1.0582,1.4269,1.9778,0.009262,0.004688,0,0
LOT-002,L002-P015,10.8468,10.9737,11.2808,11.4045,9.6578,0.7341,1.6197,1.7925,2.2109,2.3794,0.005287,0.002992,0,0
LOT-002,L002-P016,8.3328,8.4761,8.6955,8.743,9.6578,0.7341,-1.8049,-1.6097,-1.3109,-1.2462,0.005971,0.001853,0,0
LOT-002,L002-P017,10.2434,10.4181,10.547,10.6818,9.6578,0.7341,0.7977,1.0357,1.2113,1.3949,0.007279,0.001831,0,0
LOT-002,L002-P018,9.6926,9.8244,10.1505,10.4611,9.6578,0.7341,0.0474,0.2269,0.6712,1.0943,0.005492,0.004422,0,0
LOT-002,L002-P019,10.2243,10.2065,10.3768,10.6345,9.6578,0.7341,0.7717,0.7474,0.9794,1.3305,-0.000742,0.002972,0,0
LOT-002,L002-P020,9.5087,9.7023,9.9613,10.2101,9.6578,0.7341,-0.2031,0.0606,0.4134,0.7523,0.008067,0.003526,0,0
LOT-002,L002-P021,10.8178,11.0248,11.2336,11.3848,9.6578,0.7341,1.5802,1.8621,2.1466,2.3525,0.008625,0.0025,0,0
LOT-002,L002-P022,9.3403,9.5637,9.9172,9.8964,9.6578,0.7341,-0.4325,-0.1282,0.3534,0.325,0.009308,0.00231,0,0
LOT-002,L002-P023,9.9226,10.1987,10.4079,10.4041,9.6578,0.7341,0.3607,0.7368,1.0218,1.0166,0.011504,0.001426,0,0
LOT-002,L002-P024,8.9178,9.1819,9.3475,9.3895,9.6578,0.7341,-1.008,-0.6483,-0.4227,-0.3655,0.011004,0.001442,0,0
LOT-002,L002-P025,9.6696,9.9159,9.9448,10.1684,9.6578,0.7341,0.0161,0.3516,0.391,0.6955,0.010262,0.001753,0,0
LOT-002,L002-P026,10.2237,10.4169,10.7238,10.8363,9.6578,0.7341,0.7709,1.0341,1.4521,1.6054,0.00805,0.002912,0,0
LOT-002,L002-P027,9.3639,9.5945,10.0716,10.2898,9.6578,0.7341,-0.4004,-0.0862,0.5637,0.8609,0.009608,0.004828,0,0
LOT-002,L002-P028,9.84,9.9327,10.101,10.452,9.6578,0.7341,0.2482,0.3745,0.6037,1.0819,0.003863,0.003606,0,0
LOT-002,L002-P029,9.9529,10.2159,10.4149,10.5879,9.6578,0.7341,0.402,0.7603,1.0313,1.267,0.010958,0.002583,0,0
LOT-002,L002-P030,8.9393,9.0851,9.2798,9.5762,9.6578,0.7341,-0.9787,-0.7801,-0.5149,-0.1112,0.006075,0.00341,0,0
LOT-002,L002-P031,10.3725,10.5856,11.0232,11.1459,9.6578,0.7341,0.9736,1.2639,1.86,2.0271,0.008879,0.003891,0,0
LOT-002,L002-P032,8.7441,8.9377,9.2713,9.3822,9.6578,0.7341,-1.2447,-0.9809,-0.5265,-0.3754,0.008067,0.003087,0,0
LOT-002,L002-P033,7.9512,8.1536,8.2911,8.7356,9.6578,0.7341,-2.3248,-2.049,-1.8617,-1.2562,0.008433,0.004042,0,0
LOT-002,L002-P034,49.8261,67.1473,85.6243,113.6473,9.6578,0.7341,54.7177,78.3129,103.4825,141.6558,0.721717,0.322917,1,1
LOT-002,L002-P035,9.7527,9.8694,10.1666,10.5548,9.6578,0.7341,0.1293,0.2882,0.6931,1.2219,0.004862,0.00476,0,0
LOT-002,L002-P036,10.6455,10.8402,11.1002,11.2912,9.6578,0.7341,1.3455,1.6107,1.9649,2.225,0.008112,0.003132,0,0
LOT-002,L002-P037,10.2312,10.4156,10.7751,10.8058,9.6578,0.7341,0.7811,1.0323,1.522,1.5638,0.007683,0.00271,0,0
LOT-002,L002-P038,10.7806,11.9158,16.0215,19.0378,9.6578,0.7341,1.5295,3.0759,8.6687,12.7776,0.0473,0.049458,0,1
LOT-002,L002-P039,10.2834,10.2778,10.5048,10.7676,9.6578,0.7341,0.8522,0.8446,1.1538,1.5118,-0.000233,0.003401,0,0
LOT-002,L002-P040,9.4113,9.7248,9.9489,9.9985,9.6578,0.7341,-0.3358,0.0913,0.3965,0.4641,0.013062,0.001901,0,0
LOT-002,L002-P041,9.6529,9.7274,10.0578,10.2421,9.6578,0.7341,-0.0067,0.0948,0.5449,0.7959,0.003104,0.003574,0,0
LOT-002,L002-P042,11.0151,11.2852,11.5084,11.5977,9.6578,0.7341,1.8489,2.2169,2.5209,2.6426,0.011254,0.00217,0,0
LOT-002,L002-P043,9.6583,11.0537,13.6879,19.3127,9.6578,0.7341,0.0007,1.9015,5.4899,13.152,0.058142,0.057354,0,1
LOT-002,L002-P044,9.774,9.9448,10.2103,10.6673,9.6578,0.7341,0.1583,0.391,0.7526,1.3752,0.007117,0.005017,0,0
LOT-002,L002-P045,8.8451,10.4206,13.8272,18.6625,9.6578,0.7341,-1.1071,1.0391,5.6796,12.2663,0.065646,0.057235,0,1
LOT-002,L002-P046,10.5726,10.5867,10.8024,10.9653,9.6578,0.7341,1.2462,1.2654,1.5592,1.7811,0.000588,0.002629,0,0
LOT-002,L002-P047,9.5478,9.77,10.1033,10.1707,9.6578,0.7341,-0.1498,0.1528,0.6069,0.6987,0.009258,0.002783,0,0
LOT-002,L002-P048,10.3447,10.6264,10.9486,11.0357,9.6578,0.7341,0.9357,1.3194,1.7583,1.877,0.011738,0.002842,0,0
LOT-002,L002-P049,36.7698,52.769,65.4472,92.4603,9.6578,0.7341,36.9323,58.7266,75.997,112.7946,0.666633,0.275634,1,1
LOT-002,L002-P050,9.4814,9.6314,9.9525,10.1969,9.6578,0.7341,-0.2403,-0.036,0.4014,0.7344,0.00625,0.003927,0,0
LOT-002,L002-P051,10.8664,10.9659,11.1501,11.2564,9.6578,0.7341,1.6464,1.7819,2.0328,2.1776,0.004146,0.002017,0,0
LOT-002,L002-P052,9.8972,9.9771,10.3195,10.501,9.6578,0.7341,0.3261,0.435,0.9014,1.1486,0.003329,0.003638,0,0
LOT-002,L002-P053,8.7464,8.8611,9.2427,9.2674,9.6578,0.7341,-1.2415,-1.0853,-0.5655,-0.5318,0.004779,0.002822,0,0
LOT-002,L002-P054,8.7178,9.0382,9.08,9.4497,9.6578,0.7341,-1.2805,-0.844,-0.7871,-0.2835,0.01335,0.002858,0,0
LOT-002,L002-P055,10.3712,10.5487,10.7652,11.0998,9.6578,0.7341,0.9718,1.2136,1.5085,1.9643,0.007396,0.003827,0,0
LOT-002,L002-P056,9.8838,11.3172,14.333,17.8208,9.6578,0.7341,0.3079,2.2605,6.3686,11.1197,0.059725,0.045164,0,1
LOT-002,L002-P057,8.4024,8.5838,8.8686,9.0146,9.6578,0.7341,-1.7101,-1.463,-1.0751,-0.8762,0.007558,0.002992,0,0
LOT-002,L002-P058,50.5431,59.7206,78.3683,96.6716,9.6578,0.7341,55.6945,68.1962,93.5983,118.5313,0.382396,0.256604,1,1
LOT-002,L002-P059,9.0864,9.3488,9.646,9.8716,9.6578,0.7341,-0.7784,-0.4209,-0.0161,0.2912,0.010933,0.003631,0,0
LOT-002,L002-P060,10.3792,10.4789,10.7799,10.9641,9.6578,0.7341,0.9827,1.1185,1.5285,1.7795,0.004154,0.003369,0,0
LOT-002,L002-P061,10.2499,10.3799,10.6325,10.8843,9.6578,0.7341,0.8066,0.9837,1.3277,1.6708,0.005417,0.003503,0,0
LOT-002,L002-P062,9.125,10.5282,13.5189,17.8814,9.6578,0.7341,-0.7258,1.1857,5.2596,11.2023,0.058467,0.051064,0,1
LOT-002,L002-P063,10.6425,10.7518,11.0592,11.0838,9.6578,0.7341,1.3414,1.4903,1.909,1.9425,0.004554,0.002306,0,0
LOT-002,L002-P064,10.0199,10.2147,10.3789,10.6489,9.6578,0.7341,0.4933,0.7586,0.9823,1.3501,0.008117,0.003015,0,0
LOT-002,L002-P065,10.1038,10.9552,14.448,19.5369,9.6578,0.7341,0.6075,1.7673,6.5253,13.4574,0.035475,0.059595,0,1
LOT-002,L002-P066,8.5426,8.6944,8.9686,9.1866,9.6578,0.7341,-1.5191,-1.3124,-0.9388,-0.6419,0.006325,0.003418,0,0
LOT-002,L002-P067,9.412,9.5418,9.9731,10.2438,9.6578,0.7341,-0.3348,-0.158,0.4295,0.7983,0.005408,0.004875,0,0
LOT-002,L002-P068,9.2449,9.3379,9.6808,9.7045,9.6578,0.7341,-0.5625,-0.4358,0.0313,0.0636,0.003875,0.002546,0,0
LOT-002,L002-P069,10.4977,12.215,14.9887,21.3145,9.6578,0.7341,1.1441,3.4834,7.2618,15.8789,0.071554,0.063191,0,1
LOT-002,L002-P070,9.7883,9.8614,10.1494,10.4105,9.6578,0.7341,0.1778,0.2773,0.6697,1.0253,0.003046,0.003813,0,0
LOT-002,L002-P071,10.602,10.867,11.0717,11.3349,9.6578,0.7341,1.2862,1.6472,1.926,2.2846,0.011042,0.003249,0,0
LOT-002,L002-P072,9.9732,10.1698,10.447,10.5193,9.6578,0.7341,0.4296,0.6975,1.0751,1.1735,0.008192,0.002427,0,0
LOT-002,L002-P073,9.9857,10.1486,10.5115,10.7035,9.6578,0.7341,0.4467,0.6686,1.1629,1.4245,0.006788,0.003853,0,0
LOT-002,L002-P074,10.3466,10.4853,10.7449,10.8987,9.6578,0.7341,0.9383,1.1272,1.4809,1.6904,0.005779,0.002871,0,0
LOT-002,L002-P075,8.8925,9.1747,9.3986,9.6121,9.6578,0.7341,-1.0425,-0.6581,-0.3531,-0.0623,0.011758,0.003038,0,0
LOT-002,L002-P076,10.72,10.9158,11.2689,11.3204,9.6578,0.7341,1.4469,1.7137,2.1947,2.2648,0.008158,0.00281,0,0
LOT-002,L002-P077,8.6672,8.894,9.2153,9.42,9.6578,0.7341,-1.3494,-1.0405,-0.6028,-0.3239,0.00945,0.003653,0,0
LOT-002,L002-P078,9.2781,9.5708,10.0507,10.2144,9.6578,0.7341,-0.5172,-0.1185,0.5352,0.7582,0.012196,0.004469,0,0
