component_id,lot_id,value_0h,value_24h,value_96h,value_168h,defect_type,is_defect
COMP_00110,Lot_A,8.201,8.41,8.789,9.129,Healthy,0
COMP_00111,Lot_A,8.567,8.775,9.182,9.524,Healthy,0
COMP_00112,Lot_A,8.354,9.56,18.045,38.557,Latent Defect,1
COMP_00113,Lot_C,10.087,10.297,10.788,11.131,Healthy,0
COMP_00114,Lot_C,8.44,8.717,9.044,9.488,Healthy,0
COMP_00115,Lot_B,12.734,13.046,13.421,13.778,Healthy,0
COMP_00116,Lot_C,11.089,11.318,11.697,12.112,Healthy,0
COMP_00117,Lot_C,10.572,10.778,10.99,11.279,Healthy,0
COMP_00118,Lot_A,9.042,9.23,9.679,9.963,Healthy,0
COMP_00119,Lot_C,8.261,8.457,8.988,9.101,Healthy,0
COMP_00120,Lot_B,13.277,13.432,13.956,14.377,Healthy,0
COMP_00121,Lot_C,9.845,11.011,19.302,33.938,Latent Defect,1
COMP_00122,Lot_C,11.528,11.709,12.347,12.611,Healthy,0
COMP_00123,Lot_A,8.92,9.893,20.178,37.364,Latent Defect,1
COMP_00124,Lot_A,8.25,8.549,8.942,9.15,Healthy,0
COMP_00125,Lot_A,9.109,9.267,9.779,10.227,Healthy,0
COMP_00126,Lot_B,12.587,12.932,13.439,13.72,Healthy,0
COMP_00127,Lot_C,11.261,11.42,11.825,12.154,Healthy,0
COMP_00128,Lot_C,10.545,10.884,11.46,11.833,Healthy,0
COMP_00129,Lot_A,8.276,8.38,8.672,9.199,Healthy,0
COMP_00130,Lot_B,10.98,11.168,11.755,12.126,Healthy,0
COMP_00131,Lot_B,14.021,14.314,14.941,15.32,Healthy,0
COMP_00132,Lot_A,9.031,9.223,9.743,10.054,Healthy,0
COMP_00133,Lot_A,8.138,8.459,9.017,9.536,Healthy,0
COMP_00134,Lot_A,9.799,10.122,10.366,10.898,Healthy,0
COMP_00135,Lot_C,10.826,11.015,11.552,11.799,Healthy,0
COMP_00136,Lot_A,8.995,9.932,18.219,37.994,Latent Defect,1
COMP_00137,Lot_B,14.18,14.456,14.872,15.01,Healthy,0
COMP_00138,Lot_C,9.812,10.105,10.517,10.864,Healthy,0
COMP_00139,Lot_B,12.796,13.02,13.479,13.802,Healthy,0
COMP_00140,Lot_C,11.299,11.372,11.757,12.02,Healthy,0
COMP_00141,Lot_C,10.197,10.453,11.098,11.643,Healthy,0
COMP_00142,Lot_A,7.882,8.132,8.605,8.875,Healthy,0
COMP_00143,Lot_B,13.691,13.922,14.244,14.566,Healthy,0
COMP_00144,Lot_A,7.702,8.035,8.713,9.087,Healthy,0
COMP_00145,Lot_A,8.589,8.851,9.443,9.909,Healthy,0
COMP_00146,Lot_A,8.407,8.678,9.206,9.442,Healthy,0
COMP_00147,Lot_B,14.334,14.723,15.312,15.538,Healthy,0
COMP_00148,Lot_B,10.833,11.14,11.498,11.877,Healthy,0
COMP_00149,Lot_A,9.728,9.926,10.33,10.708,Healthy,0
COMP_00150,Lot_A,7.462,7.651,8.104,8.424,Healthy,0
COMP_00151,Lot_C,10.548,11.019,11.481,11.747,Healthy,0
COMP_00152,Lot_A,9.635,9.757,10.041,10.331,Healthy,0
COMP_00153,Lot_A,8.274,9.35,18.803,37.489,Latent Defect,1
COMP_00154,Lot_B,14.176,15.394,24.051,44.588,Latent Defect,1
COMP_00155,Lot_C,9.264,9.383,9.978,10.442,Healthy,0
COMP_00156,Lot_A,7.866,8.084,8.424,8.807,Healthy,0
COMP_00157,Lot_B,14.905,16.246,27.299,47.349,Latent Defect,1
COMP_00158,Lot_C,10.0,10.337,10.876,11.37,Healthy,0
COMP_00159,Lot_A,8.132,8.243,8.819,9.204,Healthy,0
COMP_00160,Lot_C,9.734,9.964,10.721,11.007,Healthy,0
COMP_00161,Lot_B,12.061,12.318,12.91,13.488,Healthy,0
COMP_00162,Lot_B,13.723,13.871,14.558,14.906,Healthy,0
COMP_00163,Lot_B,12.079,12.242,12.793,13.166,Healthy,0
COMP_00164,Lot_B,13.38,13.733,14.086,14.573,Healthy,0
COMP_00165,Lot_A,8.085,8.508,9.03,9.288,Healthy,0
COMP_00166,Lot_C,8.177,9.539,18.478,36.089,Latent Defect,1
COMP_00167,Lot_A,9.113,9.444,10.041,10.273,Healthy,0
COMP_00168,Lot_A,9.641,9.844,10.024,10.256,Healthy,0
COMP_00169,Lot_A,8.674,8.846,9.286,9.669,Healthy,0
COMP_00170,Lot_B,12.8,13.011,13.311,13.663,Healthy,0
COMP_00171,Lot_B,10.729,10.924,11.262,11.588,Healthy,0
COMP_00172,Lot_A,8.329,8.656,9.296,9.534,Healthy,0
COMP_00173,Lot_B,15.192,15.38,15.85,16.252,Healthy,0
COMP_00174,Lot_A,10.456,23.829,49.845,121.768,Gross Failure,1
COMP_00175,Lot_B,12.083,12.304,12.62,12.934,Healthy,0
COMP_00176,Lot_A,7.828,8.132,8.591,8.873,Healthy,0
COMP_00177,Lot_B,14.095,14.366,14.594,15.036,Healthy,0
COMP_00178,Lot_B,13.203,13.565,14.029,14.3,Healthy,0
COMP_00179,Lot_C,9.816,10.13,10.488,10.794,Healthy,0
COMP_00180,Lot_A,8.323,8.481,8.84,9.207,Healthy,0
COMP_00181,Lot_A,9.462,9.737,10.182,10.449,Healthy,0
COMP_00182,Lot_A,9.376,9.661,10.026,10.466,Healthy,0
COMP_00183,Lot_C,10.504,10.689,11.126,11.427,Healthy,0
COMP_00184,Lot_C,12.37,12.663,13.135,13.532,Healthy,0
COMP_00185,Lot_A,9.603,9.847,10.226,10.66,Healthy,0
COMP_00186,Lot_B,12.808,12.972,13.27,13.773,Healthy,0
COMP_00187,Lot_C,10.118,10.321,10.743,11.174,Healthy,0
COMP_00188,Lot_B,12.677,12.811,13.3,13.771,Healthy,0
COMP_00189,Lot_B,14.256,14.461,15.063,15.434,Healthy,0
COMP_00190,Lot_A,9.493,9.789,10.056,10.581,Healthy,0
COMP_00191,Lot_A,8.541,8.838,9.126,9.527,Healthy,0
COMP_00192,Lot_C,10.993,11.397,12.016,12.421,Healthy,0
COMP_00193,Lot_C,8.61,8.871,9.25,9.623,Healthy,0
COMP_00194,Lot_B,11.662,11.895,12.283,12.578,Healthy,0
COMP_00195,Lot_A,8.069,8.309,8.793,8.893,Healthy,0
COMP_00196,Lot_A,6.599,6.822,7.248,7.617,Healthy,0
COMP_00197,Lot_C,9.345,9.596,10.061,10.338,Healthy,0
COMP_00198,Lot_C,10.912,11.176,11.692,12.049,Healthy,0
COMP_00199,Lot_C,11.893,12.191,12.582,13.015,Healthy,0
COMP_00200,Lot_C,8.526,8.786,9.274,9.637,Healthy,0
COMP_00201,Lot_B,12.633,12.802,13.157,13.517,Healthy,0
COMP_00202,Lot_A,7.609,8.001,8.134,8.452,Healthy,0
COMP_00203,Lot_A,8.588,8.879,9.219,9.682,Healthy,0
COMP_00204,Lot_C,8.746,8.95,9.475,9.929,Healthy,0
COMP_00205,Lot_B,11.456,11.917,12.26,12.478,Healthy,0
COMP_00206,Lot_A,8.902,9.124,9.515,9.924,Healthy,0
COMP_00207,Lot_A,7.278,7.392,7.77,8.228,Healthy,0
COMP_00208,Lot_B,12.391,12.768,13.363,13.741,Healthy,0
COMP_00209,Lot_A,8.772,9.044,9.514,9.827,Healthy,0
COMP_00210,Lot_A,8.3,8.464,8.649,9.109,Healthy,0
COMP_00211,Lot_B,13.173,13.423,13.921,14.188,Healthy,0
COMP_00212,Lot_B,11.899,12.126,12.74,12.973,Healthy,0
COMP_00213,Lot_B,10.11,10.319,10.906,11.082,Healthy,0
COMP_00214,Lot_A,7.556,7.827,8.585,8.799,Healthy,0
COMP_00215,Lot_C,8.743,9.02,9.614,9.902,Healthy,0
COMP_00216,Lot_A,7.203,7.488,8.011,8.539,Healthy,0
COMP_00217,Lot_A,9.026,9.342,9.76,10.354,Healthy,0
COMP_00218,Lot_C,9.642,9.843,10.51,10.712,Healthy,0
COMP_00219,Lot_B,10.968,11.227,11.677,12.004,Healthy,0
COMP_00220,Lot_C,10.895,11.072,11.53,11.844,Healthy,0
COMP_00221,Lot_B,12.02,12.265,12.817,13.379,Healthy,0
COMP_00222,Lot_B,13.637,13.686,14.132,14.487,Healthy,0
COMP_00223,Lot_A,9.249,10.486,21.866,40.845,Latent Defect,1
COMP_00224,Lot_B,14.715,14.93,15.397,15.83,Healthy,0
COMP_00225,Lot_A,8.042,20.672,52.525,106.532,Gross Failure,1
COMP_00226,Lot_A,8.918,9.021,9.285,9.821,Healthy,0
COMP_00227,Lot_C,9.347,9.613,9.885,10.244,Healthy,0
COMP_00228,Lot_B,12.209,12.334,12.944,13.413,Healthy,0
COMP_00229,Lot_C,9.903,10.233,10.912,11.337,Healthy,0
COMP_00230,Lot_B,13.528,13.794,14.322,14.635,Healthy,0
COMP_00231,Lot_C,9.751,26.104,58.734,115.808,Gross Failure,1
COMP_00232,Lot_B,13.0,13.342,13.656,14.082,Healthy,0
COMP_00233,Lot_B,13.871,14.184,14.537,14.718,Healthy,0
COMP_00234,Lot_B,13.616,13.881,14.451,14.731,Healthy,0
COMP_00235,Lot_A,9.108,9.442,9.881,10.273,Healthy,0
COMP_00236,Lot_C,10.344,10.528,11.042,11.554,Healthy,0
COMP_00237,Lot_A,8.518,8.651,9.018,9.19,Healthy,0
COMP_00238,Lot_A,9.532,9.843,10.233,10.441,Healthy,0
COMP_00239,Lot_B,12.083,12.282,12.745,13.103,Healthy,0
COMP_00240,Lot_A,9.573,9.768,10.037,10.271,Healthy,0
COMP_00241,Lot_C,9.979,10.171,10.586,10.891,Healthy,0
COMP_00242,Lot_C,10.891,11.094,11.499,11.921,Healthy,0
COMP_00243,Lot_C,9.492,9.775,10.265,10.629,Healthy,0
COMP_00244,Lot_B,11.752,12.101,12.817,13.168,Healthy,0
COMP_00245,Lot_A,7.663,7.915,8.484,8.773,Healthy,0
COMP_00246,Lot_C,9.884,25.906,66.921,133.125,Gross Failure,1
COMP_00247,Lot_B,13.899,14.114,14.613,14.89,Healthy,0
COMP_00248,Lot_C,10.761,11.103,11.619,11.933,Healthy,0
COMP_00249,Lot_C,9.817,10.211,10.619,11.074,Healthy,0
COMP_00250,Lot_C,10.305,10.528,10.817,11.188,Healthy,0
COMP_00251,Lot_A,8.573,8.967,9.314,9.894,Healthy,0
COMP_00252,Lot_B,13.417,29.55,61.585,124.102,Gross Failure,1
COMP_00253,Lot_C,10.426,10.751,11.083,11.574,Healthy,0
COMP_00254,Lot_A,8.789,9.088,9.511,9.768,Healthy,0
COMP_00255,Lot_A,8.558,8.823,9.107,9.536,Healthy,0
COMP_00256,Lot_B,14.096,14.288,14.615,14.935,Healthy,0
COMP_00257,Lot_C,10.022,10.25,10.693,11.065,Healthy,0
COMP_00258,Lot_B,11.495,12.444,17.861,38.217,Latent Defect,1
COMP_00259,Lot_B,13.017,13.351,13.664,14.016,Healthy,0
COMP_00260,Lot_A,8.672,8.877,9.141,9.665,Healthy,0
COMP_00261,Lot_B,14.539,14.759,15.27,15.571,Healthy,0
COMP_00262,Lot_C,9.104,9.5,9.752,10.073,Healthy,0
COMP_00263,Lot_A,8.567,8.95,9.507,9.69,Healthy,0
COMP_00264,Lot_B,12.997,13.249,13.671,14.083,Healthy,0
COMP_00265,Lot_C,8.732,8.949,9.457,9.875,Healthy,0
COMP_00266,Lot_C,10.134,10.361,10.797,11.221,Healthy,0
COMP_00267,Lot_B,13.037,13.204,13.506,13.707,Healthy,0
COMP_00268,Lot_C,11.31,11.625,12.062,12.366,Healthy,0
COMP_00269,Lot_B,12.369,12.706,13.385,13.674,Healthy,0
COMP_00270,Lot_A,9.411,9.663,10.087,10.588,Healthy,0
COMP_00271,Lot_C,9.991,10.265,10.744,10.932,Healthy,0
COMP_00272,Lot_C,10.26,10.465,10.744,11.042,Healthy,0
COMP_00273,Lot_C,9.527,9.86,10.182,10.453,Healthy,0
COMP_00274,Lot_C,10.212,10.356,10.727,10.91,Healthy,0
COMP_00275,Lot_B,14.012,14.238,14.686,15.128,Healthy,0
COMP_00276,Lot_B,12.206,12.431,12.754,12.998,Healthy,0
COMP_00277,Lot_C,9.171,9.382,9.786,10.165,Healthy,0
COMP_00278,Lot_B,12.02,12.295,12.803,13.107,Healthy,0
COMP_00279,Lot_C,9.276,9.533,9.958,10.33,Healthy,0
COMP_00280,Lot_C,11.413,11.668,12.042,12.303,Healthy,0
COMP_00281,Lot_C,9.233,9.366,9.928,10.055,Healthy,0
COMP_00282,Lot_A,8.89,9.071,9.46,9.72,Healthy,0
COMP_00283,Lot_B,14.59,14.842,15.387,15.867,Healthy,0
COMP_00284,Lot_A,8.631,8.785,9.209,9.484,Healthy,0
COMP_00285,Lot_B,12.446,12.689,13.122,13.514,Healthy,0
COMP_00286,Lot_A,8.946,9.185,9.684,9.979,Healthy,0
COMP_00287,Lot_B,14.446,14.651,15.245,15.447,Healthy,0
COMP_00288,Lot_B,12.582,12.805,13.289,13.725,Healthy,0
COMP_00289,Lot_A,7.5,7.662,7.944,8.426,Healthy,0
COMP_00290,Lot_B,13.327,13.491,13.887,14.356,Healthy,0
COMP_00291,Lot_A,8.278,8.501,8.857,9.104,Healthy,0
COMP_00292,Lot_A,9.447,9.831,10.162,10.653,Healthy,0
COMP_00293,Lot_C,9.561,9.854,10.473,10.809,Healthy,0
COMP_00294,Lot_B,12.639,12.953,13.27,13.735,Healthy,0
COMP_00295,Lot_A,8.614,8.818,9.196,9.407,Healthy,0
COMP_00296,Lot_B,12.41,12.639,12.962,13.307,Healthy,0
COMP_00297,Lot_C,10.426,10.659,11.188,11.457,Healthy,0
COMP_00298,Lot_A,9.303,9.562,10.198,10.789,Healthy,0
COMP_00299,Lot_B,12.483,12.698,13.119,13.528,Healthy,0
COMP_00300,Lot_A,9.561,9.759,10.254,10.591,Healthy,0
COMP_00301,Lot_A,8.994,9.365,9.786,9.969,Healthy,0
COMP_00302,Lot_B,13.818,14.002,14.435,14.863,Healthy,0
COMP_00303,Lot_B,13.327,13.569,13.95,14.01,Healthy,0
COMP_00304,Lot_B,13.768,13.998,14.63,15.019,Healthy,0
COMP_00305,Lot_C,9.513,9.848,10.436,10.765,Healthy,0
COMP_00306,Lot_C,11.074,11.28,11.749,12.156,Healthy,0
COMP_00307,Lot_B,13.863,14.163,14.573,15.032,Healthy,0
COMP_00308,Lot_A,8.4,8.605,8.988,9.532,Healthy,0
COMP_00309,Lot_C,9.332,9.686,9.999,10.398,Healthy,0
COMP_00310,Lot_A,8.738,9.117,9.489,9.746,Healthy,0
COMP_00311,Lot_B,12.872,14.405,22.579,34.108,Latent Defect,1
COMP_00312,Lot_A,8.548,8.874,9.202,9.637,Healthy,0
COMP_00313,Lot_A,7.671,7.91,8.45,8.681,Healthy,0
COMP_00314,Lot_C,10.163,10.511,11.017,11.295,Healthy,0
COMP_00315,Lot_C,11.367,11.67,11.896,12.333,Healthy,0
COMP_00316,Lot_B,12.371,12.637,13.208,13.503,Healthy,0
COMP_00317,Lot_B,11.19,11.56,12.15,12.491,Healthy,0
COMP_00318,Lot_A,9.183,9.403,9.865,10.2,Healthy,0
COMP_00319,Lot_A,8.237,8.516,8.821,9.145,Healthy,0
COMP_00320,Lot_A,8.752,10.319,18.068,37.369,Latent Defect,1
COMP_00321,Lot_B,13.693,23.063,60.116,127.158,Gross Failure,1
COMP_00322,Lot_C,10.53,10.773,11.263,11.63,Healthy,0
COMP_00323,Lot_B,11.142,11.407,11.813,12.093,Healthy,0
COMP_00324,Lot_A,10.488,10.838,11.15,11.535,Healthy,0
COMP_00325,Lot_C,11.312,12.213,21.828,40.139,Latent Defect,1
COMP_00326,Lot_C,8.853,9.133,9.717,10.218,Healthy,0
COMP_00327,Lot_B,12.726,13.176,13.379,13.764,Healthy,0
COMP_00328,Lot_B,11.446,12.665,21.382,40.649,Latent Defect,1
COMP_00329,Lot_B,12.86,13.044,13.403,13.946,Healthy,0
COMP_00330,Lot_A,8.855,8.969,9.485,9.815,Healthy,0
COMP_00331,Lot_B,13.005,13.321,13.913,14.177,Healthy,0
COMP_00332,Lot_C,9.973,10.18,10.701,11.028,Healthy,0
COMP_00333,Lot_A,8.523,8.752,9.189,9.71,Healthy,0
COMP_00334,Lot_A,10.413,10.693,11.131,11.321,Healthy,0
COMP_00335,Lot_A,7.892,8.132,8.496,8.785,Healthy,0
COMP_00336,Lot_A,9.76,10.013,10.477,10.759,Healthy,0
COMP_00337,Lot_C,11.06,11.293,11.68,11.872,Healthy,0
COMP_00338,Lot_C,9.945,10.151,10.803,11.337,Healthy,0
COMP_00339,Lot_B,11.641,11.801,12.218,12.487,Healthy,0
COMP_00340,Lot_A,8.674,8.898,9.381,9.833,Healthy,0
COMP_00341,Lot_B,11.829,12.159,12.522,13.086,Healthy,0
COMP_00342,Lot_B,14.783,15.024,15.358,15.593,Healthy,0
COMP_00343,Lot_A,9.199,9.446,10.008,10.578,Healthy,0
COMP_00344,Lot_B,12.153,12.304,12.777,13.242,Healthy,0
COMP_00345,Lot_B,11.965,27.069,68.92,115.857,Gross Failure,1
COMP_00346,Lot_B,13.259,13.466,13.931,14.352,Healthy,0
COMP_00347,Lot_B,13.243,13.412,13.802,14.295,Healthy,0
COMP_00348,Lot_A,8.763,9.08,9.56,9.991,Healthy,0
COMP_00349,Lot_B,12.564,12.753,13.294,13.757,Healthy,0
COMP_00350,Lot_B,11.994,12.198,12.629,13.141,Healthy,0
COMP_00351,Lot_B,13.619,13.764,14.202,14.528,Healthy,0
COMP_00352,Lot_C,8.944,9.186,9.601,9.915,Healthy,0
COMP_00353,Lot_B,12.552,12.92,13.326,13.681,Healthy,0
COMP_00354,Lot_A,8.453,8.663,9.122,9.479,Healthy,0
COMP_00355,Lot_A,8.564,9.592,18.783,38.684,Latent Defect,1
COMP_00356,Lot_B,12.802,13.065,13.535,13.927,Healthy,0
COMP_00357,Lot_A,8.947,9.183,9.524,9.752,Healthy,0
COMP_00358,Lot_B,14.119,14.431,14.959,15.39,Healthy,0
COMP_00359,Lot_C,9.855,10.055,10.387,10.628,Healthy,0
COMP_00360,Lot_B,14.333,14.544,15.121,15.452,Healthy,0
COMP_00361,Lot_B,12.256,12.419,12.798,13.29,Healthy,0
COMP_00362,Lot_B,11.807,13.431,21.67,41.545,Latent Defect,1
COMP_00363,Lot_B,12.84,13.065,13.362,13.702,Healthy,0
COMP_00364,Lot_B,11.726,12.59,22.269,38.68,Latent Defect,1
COMP_00365,Lot_C,11.516,11.846,12.5,12.782,Healthy,0
COMP_00366,Lot_B,13.15,13.19,13.606,13.966,Healthy,0
COMP_00367,Lot_C,10.139,10.385,10.843,10.922,Healthy,0
COMP_00368,Lot_C,10.231,10.519,11.13,11.517,Healthy,0
COMP_00369,Lot_A,8.395,8.734,8.901,9.199,Healthy,0
COMP_00370,Lot_A,7.887,8.135,8.321,8.803,Healthy,0
COMP_00371,Lot_A,8.3,9.564,19.399,40.555,Latent Defect,1
COMP_00372,Lot_A,7.01,7.269,7.857,8.197,Healthy,0
COMP_00373,Lot_A,7.739,7.941,8.344,8.621,Healthy,0
COMP_00374,Lot_B,12.832,13.203,13.581,13.882,Healthy,0
COMP_00375,Lot_A,8.868,9.104,9.394,9.738,Healthy,0
COMP_00376,Lot_A,8.421,8.749,9.082,9.531,Healthy,0
COMP_00377,Lot_C,9.912,10.073,10.366,10.91,Healthy,0
COMP_00378,Lot_A,8.372,8.697,8.942,9.556,Healthy,0
COMP_00379,Lot_C,10.804,11.033,11.447,11.87,Healthy,0
COMP_00380,Lot_A,9.042,10.278,19.795,39.197,Latent Defect,1
COMP_00381,Lot_A,7.107,7.327,7.579,7.99,Healthy,0
COMP_00382,Lot_B,12.257,12.381,12.736,13.101,Healthy,0
COMP_00383,Lot_B,12.774,12.93,13.176,13.533,Healthy,0
COMP_00384,Lot_C,9.477,9.707,10.138,10.531,Healthy,0
